都道府県指定市コード,交通量調査単位区間番号,道路種別,路線番号,令和３年度調査交通量観測・非観測の別,個別調査観測値活用の別,１２・２４時間観測の別,交通量観測年月日,天候,上り・下りの別,車種区分,時間帯別自動車類交通量（台／時）／７時台,時間帯別自動車類交通量（台／時）／８時台,時間帯別自動車類交通量（台／時）／９時台,時間帯別自動車類交通量（台／時）／１０時台,時間帯別自動車類交通量（台／時）／１１時台,時間帯別自動車類交通量（台／時）／１２時台,時間帯別自動車類交通量（台／時）／１３時台,時間帯別自動車類交通量（台／時）／１４時台,時間帯別自動車類交通量（台／時）／１５時台,時間帯別自動車類交通量（台／時）／１６時台,時間帯別自動車類交通量（台／時）／１７時台,時間帯別自動車類交通量（台／時）／１８時台,時間帯別自動車類交通量（台／時）／１９時台,時間帯別自動車類交通量（台／時）／２０時台,時間帯別自動車類交通量（台／時）／２１時台,時間帯別自動車類交通量（台／時）／２２時台,時間帯別自動車類交通量（台／時）／２３時台,時間帯別自動車類交通量（台／時）／０時台,時間帯別自動車類交通量（台／時）／１時台,時間帯別自動車類交通量（台／時）／２時台,時間帯別自動車類交通量（台／時）／３時台,時間帯別自動車類交通量（台／時）／４時台,時間帯別自動車類交通量（台／時）／５時台,時間帯別自動車類交通量（台／時）／６時台,昼間１２時間自動車類交通量（台）,２４時間自動車類交通量（台）,交通調査基本区間番号,路線名,車線数,時間帯別自動車類交通量（台／時）／７時台_per_lane,時間帯別自動車類交通量（台／時）／８時台_per_lane,時間帯別自動車類交通量（台／時）／９時台_per_lane,時間帯別自動車類交通量（台／時）／１０時台_per_lane,時間帯別自動車類交通量（台／時）／１１時台_per_lane,時間帯別自動車類交通量（台／時）／１２時台_per_lane,時間帯別自動車類交通量（台／時）／１３時台_per_lane,時間帯別自動車類交通量（台／時）／１４時台_per_lane,時間帯別自動車類交通量（台／時）／１５時台_per_lane,時間帯別自動車類交通量（台／時）／１６時台_per_lane,時間帯別自動車類交通量（台／時）／１７時台_per_lane,時間帯別自動車類交通量（台／時）／１８時台_per_lane,時間帯別自動車類交通量（台／時）／１９時台_per_lane,時間帯別自動車類交通量（台／時）／２０時台_per_lane,時間帯別自動車類交通量（台／時）／２１時台_per_lane,時間帯別自動車類交通量（台／時）／２２時台_per_lane,時間帯別自動車類交通量（台／時）／２３時台_per_lane,時間帯別自動車類交通量（台／時）／０時台_per_lane,時間帯別自動車類交通量（台／時）／１時台_per_lane,時間帯別自動車類交通量（台／時）／２時台_per_lane,時間帯別自動車類交通量（台／時）／３時台_per_lane,時間帯別自動車類交通量（台／時）／４時台_per_lane,時間帯別自動車類交通量（台／時）／５時台_per_lane,時間帯別自動車類交通量（台／時）／６時台_per_lane,total_24h,weight_for_diversion,diversion_ratio,capacity,時間帯別自動車類交通量（台／時）／７時台_VC,時間帯別自動車類交通量（台／時）／７時台_ランク,時間帯別自動車類交通量（台／時）／８時台_VC,時間帯別自動車類交通量（台／時）／８時台_ランク,時間帯別自動車類交通量（台／時）／９時台_VC,時間帯別自動車類交通量（台／時）／９時台_ランク,時間帯別自動車類交通量（台／時）／１０時台_VC,時間帯別自動車類交通量（台／時）／１０時台_ランク,時間帯別自動車類交通量（台／時）／１１時台_VC,時間帯別自動車類交通量（台／時）／１１時台_ランク,時間帯別自動車類交通量（台／時）／１２時台_VC,時間帯別自動車類交通量（台／時）／１２時台_ランク,時間帯別自動車類交通量（台／時）／１３時台_VC,時間帯別自動車類交通量（台／時）／１３時台_ランク,時間帯別自動車類交通量（台／時）／１４時台_VC,時間帯別自動車類交通量（台／時）／１４時台_ランク,時間帯別自動車類交通量（台／時）／１５時台_VC,時間帯別自動車類交通量（台／時）／１５時台_ランク,時間帯別自動車類交通量（台／時）／１６時台_VC,時間帯別自動車類交通量（台／時）／１６時台_ランク,時間帯別自動車類交通量（台／時）／１７時台_VC,時間帯別自動車類交通量（台／時）／１７時台_ランク,時間帯別自動車類交通量（台／時）／１８時台_VC,時間帯別自動車類交通量（台／時）／１８時台_ランク,時間帯別自動車類交通量（台／時）／１９時台_VC,時間帯別自動車類交通量（台／時）／１９時台_ランク,時間帯別自動車類交通量（台／時）／２０時台_VC,時間帯別自動車類交通量（台／時）／２０時台_ランク,時間帯別自動車類交通量（台／時）／２１時台_VC,時間帯別自動車類交通量（台／時）／２１時台_ランク,時間帯別自動車類交通量（台／時）／２２時台_VC,時間帯別自動車類交通量（台／時）／２２時台_ランク,時間帯別自動車類交通量（台／時）／２３時台_VC,時間帯別自動車類交通量（台／時）／２３時台_ランク,時間帯別自動車類交通量（台／時）／０時台_VC,時間帯別自動車類交通量（台／時）／０時台_ランク,時間帯別自動車類交通量（台／時）／１時台_VC,時間帯別自動車類交通量（台／時）／１時台_ランク,時間帯別自動車類交通量（台／時）／２時台_VC,時間帯別自動車類交通量（台／時）／２時台_ランク,時間帯別自動車類交通量（台／時）／３時台_VC,時間帯別自動車類交通量（台／時）／３時台_ランク,時間帯別自動車類交通量（台／時）／４時台_VC,時間帯別自動車類交通量（台／時）／４時台_ランク,時間帯別自動車類交通量（台／時）／５時台_VC,時間帯別自動車類交通量（台／時）／５時台_ランク,時間帯別自動車類交通量（台／時）／６時台_VC,時間帯別自動車類交通量（台／時）／６時台_ランク
34000,30,1,1020,1,0,2,20210929,1,2,2,512,424,422,422,398,379,384,361,371,429,508,523,577,558,641,690,724,634,490,431,432,409,444,531,5133,11694,,,,,,,,,,,,,,,,,,,,,,,,,,,,5133,5133.0,0.0004562918134154949,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,40,1,1020,1,0,2,20210929,1,1,1,504,551,644,608,534,499,457,558,634,620,703,548,370,293,141,115,82,55,60,32,46,38,66,232,6860,8390,,,,,,,,,,,,,,,,,,,,,,,,,,,,6860,6860.0,0.0006098113851607822,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,40,1,1020,1,0,2,20210929,1,1,2,276,308,432,519,481,490,368,392,452,439,434,428,522,590,607,588,623,611,592,511,459,377,374,365,5019,11238,,,,,,,,,,,,,,,,,,,,,,,,,,,,5019,5019.0,0.0004461579215921233,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,40,1,1020,1,0,2,20210929,1,2,1,698,542,560,520,487,417,460,567,640,764,691,618,373,264,155,82,73,48,57,33,49,53,96,421,6964,8668,,,,,,,,,,,,,,,,,,,,,,,,,,,,6964,6964.0,0.0006190563391049107,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,40,1,1020,1,0,2,20210929,1,2,2,514,415,414,396,403,370,360,350,331,410,453,483,564,566,619,702,711,618,525,420,430,386,433,512,4899,11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,4899,4899.0,0.0004354906670412058,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,50,1,1020,1,0,2,20210929,1,1,1,452,523,611,567,514,434,449,414,539,480,554,401,322,212,135,107,75,55,57,27,42,41,59,213,5938,7283,,,,,,,,,,,,,,,,,,,,,,,,,,,,5938,5938.0,0.0005278513126945663,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,50,1,1020,1,0,2,20210929,1,1,2,242,303,400,452,420,427,349,332,400,396,387,405,502,586,603,583,620,611,572,499,438,376,357,352,4513,10612,,,,,,,,,,,,,,,,,,,,,,,,,,,,4513,4513.0,0.0004011776649024213,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,50,1,1020,1,0,2,20210929,1,2,1,503,432,428,440,401,382,390,552,608,727,675,582,341,246,135,78,72,47,52,35,49,43,82,311,6120,7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120,6120.0,0.0005440299820967911,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,50,1,1020,1,0,2,20210929,1,2,2,449,387,360,368,367,354,340,326,324,388,441,472,550,548,605,687,707,614,515,414,413,380,399,475,4576,10883,,,,,,,,,,,,,,,,,,,,,,,,,,,,4576,4576.0,0.000406777973541653,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,55,1,5204,1,0,2,20210929,1,1,1,136,109,95,100,101,145,46,223,173,201,230,193,98,88,19,11,6,2,5,6,6,6,11,52,1752,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1752.0,0.00015574191644339511,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
34000,55,1,5204,1,0,2,20210929,1,1,2,24,38,51,83,89,85,20,79,66,69,50,40,25,16,6,12,5,15,8,13,16,9,14,35,694,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,694.0,6.169228881947272e-05,,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明,,不明
